Название,Жанр,Картинка,Ссылка,Рейтинг
Побег из Шоушенка,драма,https://www.kinonews.ru//insimgs/poster/poster2768_3_prev.jpg,https://www.kinonews.ru//movie_712/the-shawshank-redemption,9.44
Крестный отец,драма,https://www.kinonews.ru//insimgs/2022/poster/poster104807_1_p.jpg,https://www.kinonews.ru//movie_3520/the-godfather,9.14
Темный рыцарь,боевик,https://www.kinonews.ru//insimgs/poster/poster21000_6_p.jpg,https://www.kinonews.ru//movie_24/the-dark-knight,9.12
Крестный отец 2,драма,https://www.kinonews.ru//insimgs/poster/poster3349_1_prev.jpg,https://www.kinonews.ru//movie_1647/the-godfather-part-ii,8.94
12 разгневанных мужчин,детектив,https://www.kinonews.ru//insimgs/poster/poster29672_2_p.jpg,https://www.kinonews.ru//movie_18766/12-angry-men,9.14
Список Шиндлера,биографический,https://www.kinonews.ru//insimgs/2018/poster/poster82096_1_p.jpg,https://www.kinonews.ru//movie_5421/schindlers-list,9.22
Властелин колец 3: Возвращение Короля,боевик,https://www.kinonews.ru//insimgs/poster/poster2608_1_prev.jpg,https://www.kinonews.ru//movie_796/the-lord-of-the-rings-the-return-of-the-king,9.48
Криминальное чтиво,драма,https://www.kinonews.ru//insimgs/poster/poster3163_6_prev.jpg,https://www.kinonews.ru//movie_942/pulp-fiction,8.94
Властелин колец: Братство кольца,боевик,https://www.kinonews.ru//insimgs/poster/poster2606_3_prev.jpg,https://www.kinonews.ru//movie_793/the-lord-of-the-rings-the-fellowship-of-the-ring,9.33
"Хороший, плохой, злой",боевик,https://www.kinonews.ru//insimgs/poster/poster37857_13_p.jpg,https://www.kinonews.ru//movie_1573/il-buono-il-brutto-il-cattivo,8.96
Форрест Гамп,драма,https://www.kinonews.ru//insimgs/poster/poster13096_1_prev.jpg,https://www.kinonews.ru//movie_436/forrest-gump,9.41
Властелин колец 2: Две крепости,боевик,https://www.kinonews.ru//insimgs/poster/poster2611_2_prev.jpg,https://www.kinonews.ru//movie_794/the-lord-of-the-rings-the-two-towers,9.39
Бойцовский клуб,драма,https://www.kinonews.ru//insimgs/poster/poster5915_4_prev.jpg,https://www.kinonews.ru//movie_2898/fight-club,8.88
Начало,боевик,https://www.kinonews.ru//insimgs/poster/poster9396_1_prev.jpg,https://www.kinonews.ru//movie_27164/inception,9.04
Звездные войны: Эпизод 5 - Империя наносит ответный удар,боевик,https://www.kinonews.ru//insimgs/poster/poster8948_1_prev.jpg,https://www.kinonews.ru//movie_120/star-wars-episode-v-the-empire-strikes-back,8.99
Матрица,боевик,https://www.kinonews.ru//insimgs/2019/poster/poster89637_1_p.jpg,https://www.kinonews.ru//movie_2261/the-matrix,9.20
Славные парни,биографический,https://www.kinonews.ru//insimgs/poster/poster4057_1_prev.jpg,https://www.kinonews.ru//movie_963/goodfellas,8.74
Пролетая над гнездом кукушки,драма,https://www.kinonews.ru//insimgs/poster/poster3572_2_prev.jpg,https://www.kinonews.ru//movie_2685/one-flew-over-the-cuckoos-nest,9.08
Семь,детектив,https://www.kinonews.ru//insimgs/poster/poster6234_3_prev.jpg,https://www.kinonews.ru//movie_714/se7en,8.87
Интерстеллар,детектив,https://www.kinonews.ru//insimgs/poster/poster46437_2_p.jpg,https://www.kinonews.ru//movie_5416/interstellar,8.70
Эта замечательная жизнь,драма,https://www.kinonews.ru//insimgs/poster/poster29467_1_p.jpg,https://www.kinonews.ru//movie_71771/its-a-wonderful-life,8.24
Семь самураев,боевик,https://www.kinonews.ru//insimgs/poster/poster28910_2_p.jpg,https://www.kinonews.ru//movie_18853/shichinin-no-samurai,8.93
Молчание ягнят,детектив,https://www.kinonews.ru//insimgs/poster/poster6319_5_prev.jpg,https://www.kinonews.ru//movie_4520/the-silence-of-the-lambs,9.08
Спасти рядового Райана,боевик,https://www.kinonews.ru//insimgs/poster/poster3159_3_prev.jpg,https://www.kinonews.ru//movie_443/saving-private-ryan,8.94
Город Бога,драма,https://www.kinonews.ru//insimgs/poster/poster5773_6_prev.jpg,https://www.kinonews.ru//movie_27275/cidade-de-deus,8.41
Жизнь прекрасна,военный,https://www.kinonews.ru//insimgs/poster/poster3389_3_prev.jpg,https://www.kinonews.ru//movie_28988/la-vita-e-bella,8.94
Зеленая миля,драма,https://www.kinonews.ru//insimgs/poster/poster2639_3_prev.jpg,https://www.kinonews.ru//movie_447/the-green-mile,9.18
Терминатор 2: Судный день,боевик,https://www.kinonews.ru//insimgs/2017/poster/poster75442_1_p.jpg,https://www.kinonews.ru//movie_206/terminator-2-judgment-day,9.41
Звездные войны: Эпизод 4 - Новая надежда,боевик,https://www.kinonews.ru//insimgs/poster/poster15386_1_prev.jpg,https://www.kinonews.ru//movie_119/star-wars,8.93
Дюна: Часть вторая,боевик,https://www.kinonews.ru//insimgs/2024/poster/poster121877_2_p.webp,https://www.kinonews.ru//movie_324549/dune-2,8.22
Назад в будущее,боевик,https://www.kinonews.ru//insimgs/poster/poster9905_1_prev.jpg,https://www.kinonews.ru//movie_3715/back-to-the-future,9.15
Унесенные призраками,аниме,https://www.kinonews.ru//insimgs/2021/poster/poster100949_1_p.jpg,https://www.kinonews.ru//movie_7344/sen-to-chihiro-no-kamikakushi,8.77
Пианист,биографический,https://www.kinonews.ru//insimgs/poster/poster6246_3_prev.jpg,https://www.kinonews.ru//movie_7065/the-pianist,8.72
